ride_id,timestamp,pickup_location,fare_amount,driver_rating,ride_status,hour_of_day
4ccea0e6,2026-05-27 12:24:00.144684,Mumbai_Thane,1456.48,4.0,NO_DRIVER_AVAILABLE,12
5d2edcff,2026-05-27 12:10:29.144691,Mumbai_Bandra,103.16,4.0,COMPLETED,12
170937f4,2026-05-27 12:25:33.144697,Mumbai_Thane,347.68,5.0,CANCELLED,12
a0e24611,2026-05-27 11:37:35.144703,Mumbai_Thane,595.21,1.0,CANCELLED,11
2dc849ad,2026-05-27 12:11:15.144710,Mumbai_Andheri,128.64,5.0,COMPLETED,12
b572a2d1,2026-05-27 11:35:28.144716,Mumbai_Thane,1427.21,4.0,COMPLETED,11
a7b6ad39,2026-05-27 11:56:14.144722,Mumbai_Bandra,1122.6,5.0,COMPLETED,11
89232fb2,2026-05-27 11:49:59.144728,Mumbai_Bandra,409.28,5.0,COMPLETED,11
6871297a,2026-05-27 11:51:25.144734,Mumbai_Colaba,906.24,5.0,COMPLETED,11
072b187b,2026-05-27 11:42:24.144741,Mumbai_Colaba,1065.74,4.0,CANCELLED,11
9d58abfc,2026-05-27 11:48:49.144747,Mumbai_Andheri,331.04,5.0,COMPLETED,11
256461a0,2026-05-27 11:45:26.144753,Mumbai_Thane,1453.35,1.0,COMPLETED,11
1c865398,2026-05-27 12:18:59.144762,Mumbai_Colaba,325.8,5.0,COMPLETED,12
cd85bb91,2026-05-27 12:06:17.144769,Mumbai_Bandra,715.93,4.0,CANCELLED,12
c0bd38f5,2026-05-27 11:25:53.144775,Mumbai_Bandra,727.05,4.0,COMPLETED,11
734ad6fb,2026-05-27 12:14:22.144782,Mumbai_Thane,738.02,5.0,NO_DRIVER_AVAILABLE,12
d3f559b9,2026-05-27 12:19:32.144788,Mumbai_Bandra,258.81,5.0,COMPLETED,12
aa13883f,2026-05-27 11:36:25.144794,Mumbai_Bandra,1187.3,4.0,COMPLETED,11
8043228b,2026-05-27 12:05:57.144800,Mumbai_Thane,1499.5,4.0,CANCELLED,12
5416a8ca,2026-05-27 12:18:20.144806,Mumbai_Andheri,422.01,4.0,COMPLETED,12
5961291a,2026-05-27 11:39:37.144813,Mumbai_Bandra,449.67,4.0,CANCELLED,11
a17d8439,2026-05-27 11:33:10.144819,Mumbai_Colaba,808.06,5.0,COMPLETED,11
da3e67df,2026-05-27 11:59:42.144825,Mumbai_Colaba,509.47,5.0,CANCELLED,11
89578c7c,2026-05-27 12:24:47.144831,Mumbai_Bandra,310.41,5.0,COMPLETED,12
3fe30e1e,2026-05-27 12:23:16.144838,Mumbai_Thane,167.41,5.0,COMPLETED,12
f86cc44e,2026-05-27 11:59:08.144844,Mumbai_Bandra,267.23,5.0,COMPLETED,11
6fb840c1,2026-05-27 12:13:13.144850,Mumbai_Bandra,1065.57,5.0,COMPLETED,12
fc242267,2026-05-27 11:26:21.144856,Mumbai_Andheri,1079.75,4.0,COMPLETED,11
46f8e183,2026-05-27 12:25:44.144863,Mumbai_Bandra,192.36,5.0,COMPLETED,12
bd7613ca,2026-05-27 12:21:01.144870,Mumbai_Thane,981.12,3.0,COMPLETED,12
40ff23ee,2026-05-27 12:22:13.144876,Mumbai_Andheri,765.47,5.0,COMPLETED,12
68adf605,2026-05-27 11:31:51.144882,Mumbai_Bandra,583.78,5.0,COMPLETED,11
2ae24dcf,2026-05-27 12:24:53.144889,Mumbai_Bandra,1172.42,4.0,COMPLETED,12
c78511ec,2026-05-27 11:59:53.144895,Mumbai_Andheri,999.34,3.0,COMPLETED,11
e4d506d6,2026-05-27 11:49:08.144901,Mumbai_Colaba,1422.77,5.0,NO_DRIVER_AVAILABLE,11
7e57c980,2026-05-27 12:16:08.144907,Mumbai_Bandra,260.81,4.0,COMPLETED,12
964afe40,2026-05-27 11:27:14.144913,Mumbai_Andheri,133.68,5.0,COMPLETED,11
eea38cd9,2026-05-27 11:31:06.144920,Mumbai_Andheri,254.66,5.0,COMPLETED,11
afb85d05,2026-05-27 11:44:37.144926,Mumbai_Andheri,1352.54,5.0,CANCELLED,11
dd1fc1fd,2026-05-27 11:40:05.144932,Mumbai_Thane,205.29,5.0,COMPLETED,11
3076ca54,2026-05-27 11:51:28.144938,Mumbai_Thane,388.23,2.0,COMPLETED,11
9354a6e1,2026-05-27 11:38:18.144945,Mumbai_Thane,1197.65,5.0,COMPLETED,11
1ebb281c,2026-05-27 11:54:30.144955,Mumbai_Bandra,173.84,5.0,COMPLETED,11
65e0c474,2026-05-27 11:42:59.144964,Mumbai_Bandra,196.36,4.0,CANCELLED,11
bd0a6b70,2026-05-27 11:46:20.144972,Mumbai_Thane,1045.43,4.0,COMPLETED,11
93489928,2026-05-27 11:32:23.144979,Mumbai_Colaba,1078.0,3.0,CANCELLED,11
813c58b4,2026-05-27 11:39:47.144985,Mumbai_Andheri,1046.56,1.0,COMPLETED,11
23d45a32,2026-05-27 11:44:59.144992,Mumbai_Bandra,383.76,5.0,CANCELLED,11
c77fbf92,2026-05-27 11:42:08.144998,Mumbai_Colaba,1292.2,5.0,COMPLETED,11
4192bfe9,2026-05-27 11:53:26.145004,Mumbai_Andheri,852.12,5.0,NO_DRIVER_AVAILABLE,11
ff29074d,2026-05-27 11:40:56.145010,Mumbai_Bandra,1234.52,5.0,COMPLETED,11
bd0b9d8c,2026-05-27 11:54:28.145017,Mumbai_Andheri,1345.63,4.0,COMPLETED,11
5197cd40,2026-05-27 11:51:53.145023,Mumbai_Thane,630.33,4.0,CANCELLED,11
4c65e847,2026-05-27 12:18:29.145029,Mumbai_Andheri,1485.29,5.0,COMPLETED,12
a95b4665,2026-05-27 11:26:25.145035,Mumbai_Bandra,735.5,3.0,COMPLETED,11
8f701d29,2026-05-27 12:19:16.145042,Mumbai_Colaba,140.94,5.0,COMPLETED,12
11c2df9b,2026-05-27 11:52:54.145048,Mumbai_Bandra,1384.34,5.0,COMPLETED,11
7053ef43,2026-05-27 11:36:25.145054,Mumbai_Thane,1487.65,3.0,CANCELLED,11
44b31ae8,2026-05-27 11:51:21.145060,Mumbai_Bandra,702.8,2.0,COMPLETED,11
714c1b41,2026-05-27 11:47:22.145067,Mumbai_Thane,1349.32,4.0,COMPLETED,11
661f97be,2026-05-27 11:47:43.145073,Mumbai_Thane,1245.28,5.0,COMPLETED,11
86cb0d67,2026-05-27 11:30:06.145079,Mumbai_Colaba,1072.66,5.0,COMPLETED,11
cf09bcce,2026-05-27 11:44:36.145085,Mumbai_Andheri,1259.51,5.0,COMPLETED,11
615aa190,2026-05-27 11:40:37.145091,Mumbai_Colaba,607.01,4.0,COMPLETED,11
faeb7115,2026-05-27 12:25:09.145099,Mumbai_Bandra,1083.47,4.0,CANCELLED,12
b8512e2a,2026-05-27 12:13:21.145105,Mumbai_Bandra,987.73,5.0,COMPLETED,12
635e9664,2026-05-27 12:10:14.145112,Mumbai_Thane,833.89,4.0,NO_DRIVER_AVAILABLE,12
4e77e20f,2026-05-27 11:30:58.145119,Mumbai_Thane,829.62,4.0,COMPLETED,11
51bfe427,2026-05-27 12:05:00.145125,Mumbai_Andheri,884.82,5.0,CANCELLED,12
51fe4a79,2026-05-27 11:59:05.145131,Mumbai_Colaba,976.67,4.0,COMPLETED,11
0003e682,2026-05-27 11:29:39.145137,Mumbai_Colaba,1333.84,1.0,NO_DRIVER_AVAILABLE,11
1fa9f359,2026-05-27 12:06:47.145143,Mumbai_Bandra,368.96,4.0,COMPLETED,12
18f5dcfe,2026-05-27 12:20:59.145150,Mumbai_Bandra,446.45,5.0,COMPLETED,12
7c1a5ce8,2026-05-27 11:47:26.145156,Mumbai_Colaba,1064.39,5.0,CANCELLED,11
dbd29010,2026-05-27 11:52:04.145162,Mumbai_Andheri,1112.46,5.0,NO_DRIVER_AVAILABLE,11
173fb304,2026-05-27 11:27:14.145168,Mumbai_Thane,297.25,2.0,CANCELLED,11
7a50b984,2026-05-27 11:45:17.145174,Mumbai_Thane,954.83,5.0,COMPLETED,11
3799a448,2026-05-27 12:13:59.145180,Mumbai_Thane,894.44,5.0,NO_DRIVER_AVAILABLE,12
8ccf4894,2026-05-27 11:57:29.145187,Mumbai_Andheri,617.71,3.0,COMPLETED,11
6f7e78e1,2026-05-27 11:58:36.145193,Mumbai_Bandra,323.32,4.0,COMPLETED,11
5c036484,2026-05-27 12:11:24.145199,Mumbai_Andheri,686.82,4.0,COMPLETED,12
17f3fb56,2026-05-27 11:42:06.145205,Mumbai_Thane,335.2,1.0,COMPLETED,11
fcfdc093,2026-05-27 12:23:16.145211,Mumbai_Andheri,626.46,5.0,COMPLETED,12
3a2f2ac1,2026-05-27 11:58:35.145217,Mumbai_Bandra,996.0,4.0,COMPLETED,11
36aab8a8,2026-05-27 12:23:29.145224,Mumbai_Colaba,1379.96,3.0,NO_DRIVER_AVAILABLE,12
8abfe05a,2026-05-27 11:34:13.145230,Mumbai_Andheri,731.84,4.0,COMPLETED,11
678309d2,2026-05-27 11:34:17.145236,Mumbai_Andheri,1417.43,5.0,COMPLETED,11
05b7792c,2026-05-27 11:29:05.145242,Mumbai_Colaba,1430.15,3.0,CANCELLED,11
bc421672,2026-05-27 12:19:51.145248,Mumbai_Thane,360.11,3.0,COMPLETED,12
bdc11b1a,2026-05-27 11:33:06.145254,Mumbai_Andheri,518.18,5.0,COMPLETED,11
fb765e96,2026-05-27 12:00:17.145261,Mumbai_Andheri,622.98,4.0,CANCELLED,12
ded40916,2026-05-27 11:53:40.145267,Mumbai_Colaba,165.98,3.0,COMPLETED,11
7ab95bb8,2026-05-27 11:46:28.145273,Mumbai_Andheri,758.56,5.0,COMPLETED,11
87a822ae,2026-05-27 12:03:34.145279,Mumbai_Bandra,1230.95,3.0,CANCELLED,12
06e7294c,2026-05-27 11:52:41.145285,Mumbai_Colaba,820.76,5.0,COMPLETED,11
cb23f2ab,2026-05-27 11:53:57.145292,Mumbai_Thane,1255.14,5.0,COMPLETED,11
81d6448d,2026-05-27 11:56:19.145298,Mumbai_Bandra,1049.5,4.0,COMPLETED,11
f79d2882,2026-05-27 11:58:37.145304,Mumbai_Colaba,1054.81,5.0,COMPLETED,11
18af702f,2026-05-27 11:49:40.145310,Mumbai_Andheri,226.41,4.0,NO_DRIVER_AVAILABLE,11
a2af695e,2026-05-27 11:31:48.145316,Mumbai_Andheri,879.17,5.0,NO_DRIVER_AVAILABLE,11
274d529f,2026-05-27 12:18:34.145323,Mumbai_Colaba,423.5,3.0,COMPLETED,12
cde773d9,2026-05-27 12:21:19.145329,Mumbai_Andheri,982.73,4.0,COMPLETED,12
f2afe2eb,2026-05-27 11:58:23.145335,Mumbai_Andheri,1420.95,1.0,COMPLETED,11
8678fadb,2026-05-27 11:53:02.145341,Mumbai_Thane,1252.71,4.0,COMPLETED,11
d4f047f1,2026-05-27 11:39:22.145347,Mumbai_Thane,1078.69,5.0,COMPLETED,11
733de541,2026-05-27 11:49:19.145353,Mumbai_Thane,378.23,4.0,COMPLETED,11
b758813a,2026-05-27 11:43:16.145365,Mumbai_Colaba,240.0,4.0,CANCELLED,11
d44a048f,2026-05-27 11:36:10.145372,Mumbai_Bandra,548.09,5.0,COMPLETED,11
5af76214,2026-05-27 11:48:20.145379,Mumbai_Andheri,222.33,5.0,CANCELLED,11
0aa997be,2026-05-27 12:10:46.145385,Mumbai_Bandra,667.76,4.0,COMPLETED,12
23899b06,2026-05-27 12:10:43.145391,Mumbai_Colaba,686.1,5.0,COMPLETED,12
ff945cd1,2026-05-27 12:10:08.145397,Mumbai_Thane,337.83,4.0,NO_DRIVER_AVAILABLE,12
30558d69,2026-05-27 11:30:25.145403,Mumbai_Thane,185.25,4.0,COMPLETED,11
728cab4c,2026-05-27 11:58:19.145409,Mumbai_Thane,1467.08,4.0,COMPLETED,11
85101c4e,2026-05-27 12:03:33.145416,Mumbai_Andheri,1418.92,3.0,COMPLETED,12
918a01d8,2026-05-27 11:40:29.145422,Mumbai_Thane,666.92,1.0,COMPLETED,11
00732c64,2026-05-27 11:27:48.145428,Mumbai_Thane,713.95,4.0,CANCELLED,11
7513d332,2026-05-27 12:13:40.145434,Mumbai_Thane,235.2,5.0,COMPLETED,12
9d9a0bf1,2026-05-27 11:36:08.145441,Mumbai_Andheri,210.78,5.0,COMPLETED,11
a6da94a9,2026-05-27 12:08:30.145447,Mumbai_Colaba,947.45,4.0,CANCELLED,12
dbdd4e88,2026-05-27 12:15:08.145453,Mumbai_Andheri,469.51,1.0,COMPLETED,12
c33fcc1a,2026-05-27 11:38:21.145459,Mumbai_Thane,885.41,4.0,COMPLETED,11
d42a8e74,2026-05-27 11:51:47.145465,Mumbai_Colaba,1483.87,4.0,COMPLETED,11
cf1a82f9,2026-05-27 12:06:33.145471,Mumbai_Thane,373.86,4.0,COMPLETED,12
8de6a1af,2026-05-27 12:11:52.145478,Mumbai_Thane,1252.83,4.0,COMPLETED,12
f46eba2e,2026-05-27 12:14:49.145487,Mumbai_Andheri,1290.43,5.0,COMPLETED,12
f551da69,2026-05-27 11:40:01.145494,Mumbai_Thane,814.81,5.0,COMPLETED,11
16b6bc46,2026-05-27 12:04:47.145500,Mumbai_Thane,1200.87,5.0,COMPLETED,12
40bdbfb1,2026-05-27 12:22:57.145506,Mumbai_Bandra,1005.53,4.0,COMPLETED,12
bb364eef,2026-05-27 11:34:11.145512,Mumbai_Colaba,415.28,4.0,CANCELLED,11
f3760c1e,2026-05-27 12:05:36.145519,Mumbai_Colaba,109.25,5.0,COMPLETED,12
535ca790,2026-05-27 12:18:11.145525,Mumbai_Thane,1498.78,1.0,NO_DRIVER_AVAILABLE,12
ee7e5d6a,2026-05-27 11:54:01.145531,Mumbai_Colaba,1286.55,4.0,COMPLETED,11
cbfc58f6,2026-05-27 11:31:16.145537,Mumbai_Colaba,1322.95,4.0,COMPLETED,11
085dc02f,2026-05-27 12:21:56.145544,Mumbai_Colaba,279.9,4.0,COMPLETED,12
e412a2f8,2026-05-27 11:42:19.145550,Mumbai_Bandra,610.55,4.0,COMPLETED,11
5b84dfb2,2026-05-27 12:00:58.145557,Mumbai_Thane,1397.69,4.0,COMPLETED,12
1ff04609,2026-05-27 11:57:47.145563,Mumbai_Colaba,320.03,4.0,COMPLETED,11
59cf32d8,2026-05-27 11:58:20.145569,Mumbai_Bandra,1142.8,3.0,NO_DRIVER_AVAILABLE,11
dba4e191,2026-05-27 11:57:54.145575,Mumbai_Andheri,1181.52,4.0,COMPLETED,11
ff25b1bb,2026-05-27 11:33:08.145582,Mumbai_Colaba,236.15,1.0,COMPLETED,11
5e8db060,2026-05-27 12:23:07.145588,Mumbai_Bandra,300.41,3.0,COMPLETED,12
e74f2d06,2026-05-27 12:07:31.145594,Mumbai_Thane,288.27,4.0,CANCELLED,12
c58e302c,2026-05-27 11:29:13.145600,Mumbai_Colaba,898.88,3.0,CANCELLED,11
6ed5a5f5,2026-05-27 11:39:10.145607,Mumbai_Bandra,748.86,2.0,NO_DRIVER_AVAILABLE,11
a290e3d5,2026-05-27 11:40:00.145613,Mumbai_Thane,1036.47,5.0,NO_DRIVER_AVAILABLE,11
b44c53d7,2026-05-27 11:56:29.145619,Mumbai_Thane,1046.88,4.0,COMPLETED,11
0822bde9,2026-05-27 12:15:41.145625,Mumbai_Colaba,1457.08,5.0,COMPLETED,12
4dfa578b,2026-05-27 11:39:18.145631,Mumbai_Bandra,438.4,5.0,COMPLETED,11
0fef71b5,2026-05-27 12:02:07.145637,Mumbai_Bandra,1103.71,3.0,CANCELLED,12
1fe0e91e,2026-05-27 12:15:03.145644,Mumbai_Thane,425.53,4.0,NO_DRIVER_AVAILABLE,12
f95d44c4,2026-05-27 11:53:39.145650,Mumbai_Thane,429.3,5.0,NO_DRIVER_AVAILABLE,11
d20191ac,2026-05-27 11:39:35.145656,Mumbai_Andheri,1266.86,3.0,COMPLETED,11
a493ab35,2026-05-27 11:58:35.145662,Mumbai_Andheri,505.41,5.0,COMPLETED,11
34392899,2026-05-27 12:08:17.145669,Mumbai_Andheri,1483.87,4.0,CANCELLED,12
829caac4,2026-05-27 12:18:07.145675,Mumbai_Bandra,274.49,4.0,CANCELLED,12
ca7a1630,2026-05-27 11:48:17.145681,Mumbai_Bandra,727.67,3.0,CANCELLED,11
40061a15,2026-05-27 12:06:04.145687,Mumbai_Bandra,652.96,5.0,COMPLETED,12
3f787d49,2026-05-27 11:42:34.145693,Mumbai_Colaba,1008.06,5.0,CANCELLED,11
2ef98164,2026-05-27 11:49:47.145699,Mumbai_Colaba,1042.94,2.0,NO_DRIVER_AVAILABLE,11
fff63846,2026-05-27 12:00:28.145706,Mumbai_Bandra,1339.7,1.0,COMPLETED,12
226b5417,2026-05-27 12:25:23.145712,Mumbai_Bandra,729.34,4.0,COMPLETED,12
6fa986c4,2026-05-27 11:57:38.145718,Mumbai_Bandra,1158.56,5.0,COMPLETED,11
eba92aa4,2026-05-27 12:23:30.145724,Mumbai_Colaba,1175.52,5.0,COMPLETED,12
4c89badd,2026-05-27 12:03:39.145730,Mumbai_Andheri,1272.82,3.0,CANCELLED,12
4ddef31c,2026-05-27 11:39:39.145737,Mumbai_Bandra,1192.66,4.0,NO_DRIVER_AVAILABLE,11
ee5614bd,2026-05-27 12:04:41.145743,Mumbai_Thane,777.86,4.0,COMPLETED,12
24d36cb1,2026-05-27 12:08:01.145750,Mumbai_Andheri,1151.19,4.0,COMPLETED,12
977c25fd,2026-05-27 11:47:25.145756,Mumbai_Andheri,1314.51,3.0,CANCELLED,11
0c1c02ac,2026-05-27 12:09:53.145763,Mumbai_Bandra,533.17,5.0,COMPLETED,12
adb109ee,2026-05-27 12:24:04.145769,Mumbai_Andheri,985.57,4.0,COMPLETED,12
ff39691c,2026-05-27 12:05:33.145775,Mumbai_Thane,1074.27,4.0,CANCELLED,12
6e9ab2fa,2026-05-27 12:08:26.145781,Mumbai_Andheri,1068.62,3.0,COMPLETED,12
36c736fc,2026-05-27 12:01:51.145787,Mumbai_Colaba,351.17,5.0,COMPLETED,12
58114c39,2026-05-27 11:32:42.145793,Mumbai_Bandra,1230.4,5.0,COMPLETED,11
8ebf3d07,2026-05-27 12:05:14.145800,Mumbai_Thane,831.62,5.0,COMPLETED,12
959e457a,2026-05-27 12:17:04.145806,Mumbai_Bandra,1380.01,5.0,COMPLETED,12
16035015,2026-05-27 12:17:04.145812,Mumbai_Thane,104.08,4.0,COMPLETED,12
40c3eb3a,2026-05-27 11:37:16.145818,Mumbai_Bandra,1407.81,4.0,COMPLETED,11
6013afc2,2026-05-27 11:59:52.145825,Mumbai_Bandra,263.66,5.0,COMPLETED,11
645ddbf4,2026-05-27 11:55:01.145831,Mumbai_Andheri,1158.15,3.0,COMPLETED,11
cfdf40fb,2026-05-27 12:14:50.145837,Mumbai_Andheri,1297.88,2.0,CANCELLED,12
ee874101,2026-05-27 12:03:56.145843,Mumbai_Andheri,1017.38,4.0,COMPLETED,12
b418962a,2026-05-27 12:25:25.145850,Mumbai_Bandra,935.89,5.0,COMPLETED,12
8936c01f,2026-05-27 11:35:47.145856,Mumbai_Andheri,1484.86,4.0,COMPLETED,11
2edff65d,2026-05-27 11:30:39.145862,Mumbai_Bandra,216.72,1.0,COMPLETED,11
0229afda,2026-05-27 12:14:13.145868,Mumbai_Andheri,222.68,4.0,COMPLETED,12
c3e90c0a,2026-05-27 12:19:38.145874,Mumbai_Thane,452.12,5.0,NO_DRIVER_AVAILABLE,12
723130df,2026-05-27 11:34:33.145881,Mumbai_Colaba,640.98,5.0,CANCELLED,11
8b8a8bf4,2026-05-27 12:21:13.145887,Mumbai_Bandra,1287.87,3.0,CANCELLED,12
20b7443c,2026-05-27 11:34:19.145893,Mumbai_Bandra,1350.48,1.0,CANCELLED,11
df38e8cb,2026-05-27 11:45:00.145906,Mumbai_Andheri,1380.03,3.0,NO_DRIVER_AVAILABLE,11
d288efbc,2026-05-27 12:07:37.145912,Mumbai_Colaba,853.57,5.0,CANCELLED,12
15e1f836,2026-05-27 11:31:20.145919,Mumbai_Bandra,750.66,4.0,CANCELLED,11
7679dbff,2026-05-27 11:31:10.145925,Mumbai_Thane,704.93,4.0,COMPLETED,11
cb77ae3b,2026-05-27 12:15:58.145931,Mumbai_Andheri,794.59,4.0,COMPLETED,12
faeb8964,2026-05-27 11:53:39.145938,Mumbai_Colaba,1230.04,5.0,COMPLETED,11
073ac71f,2026-05-27 12:07:00.145944,Mumbai_Andheri,468.99,5.0,CANCELLED,12
cbd8b0b7,2026-05-27 11:32:22.145950,Mumbai_Andheri,729.7,3.0,COMPLETED,11
f2964747,2026-05-27 11:49:16.145956,Mumbai_Colaba,1262.34,5.0,NO_DRIVER_AVAILABLE,11
31bf215d,2026-05-27 11:28:04.145963,Mumbai_Bandra,728.82,4.0,COMPLETED,11
8dbd7dde,2026-05-27 11:28:59.145969,Mumbai_Thane,1286.6,3.0,COMPLETED,11
ada205db,2026-05-27 11:30:01.145976,Mumbai_Thane,1436.47,4.0,COMPLETED,11
9d94016d,2026-05-27 11:57:35.145982,Mumbai_Thane,1082.73,4.0,COMPLETED,11
bcff07b9,2026-05-27 12:25:17.145988,Mumbai_Bandra,943.01,1.0,COMPLETED,12
9e34a3f5,2026-05-27 12:18:10.145994,Mumbai_Andheri,512.92,5.0,COMPLETED,12
e4054888,2026-05-27 11:26:08.146001,Mumbai_Thane,180.29,3.0,COMPLETED,11
